PULocationID,Count,PUZone,PUBorough
186,26,Penn Station/Madison Sq West,Manhattan
187,2,Port Richmond,Staten Island
188,618,Prospect-Lefferts Gardens,Brooklyn
189,201,Prospect Heights,Brooklyn
190,42,Prospect Park,Brooklyn
191,171,Queens Village,Queens
192,49,Queensboro Hill,Queens
193,188,Queensbridge/Ravenswood,Queens
194,14,Randalls Island,Manhattan
195,91,Red Hook,Brooklyn
196,588,Rego Park,Queens
197,500,Richmond Hill,Queens
198,87,Ridgewood,Queens
200,87,Riverdale/North Riverdale/Fieldston,Bronx
201,66,Rockaway Park,Queens
202,28,Roosevelt Island,Manhattan
203,87,Rosedale,Queens
205,340,Saint Albans,Queens
206,4,Saint George/New Brighton,Staten Island
207,24,Saint Michaels Cemetery/Woodside,Queens
208,147,Schuylerville/Edgewater Park,Bronx
209,21,Seaport,Manhattan
210,199,Sheepshead Bay,Brooklyn
211,3,SoHo,Manhattan
212,231,Soundview/Bruckner,Bronx
213,578,Soundview/Castle Hill,Bronx
214,1,South Beach/Dongan Hills,Staten Island
215,282,South Jamaica,Queens
216,241,South Ozone Park,Queens
217,36,South Williamsburg,Brooklyn
218,187,Springfield Gardens North,Queens
219,87,Springfield Gardens South,Queens
220,208,Spuyten Duyvil/Kingsbridge,Bronx
221,9,Stapleton,Staten Island
222,179,Starrett City,Brooklyn
223,315,Steinway,Queens
224,10,Stuy Town/Peter Cooper Village,Manhattan
225,481,Stuyvesant Heights,Brooklyn
226,411,Sunnyside,Queens
227,100,Sunset Park East,Brooklyn
228,234,Sunset Park West,Brooklyn
229,25,Sutton Place/Turtle Bay North,Manhattan
230,20,Times Sq/Theatre District,Manhattan
231,30,TriBeCa/Civic Center,Manhattan
232,49,Two Bridges/Seward Park,Manhattan
233,20,UN/Turtle Bay South,Manhattan
234,30,Union Sq,Manhattan
235,373,University Heights/Morris Heights,Bronx
236,381,Upper East Side North,Manhattan
237,33,Upper East Side South,Manhattan
238,80,Upper West Side North,Manhattan
239,24,Upper West Side South,Manhattan
240,59,Van Cortlandt Park,Bronx
241,176,Van Cortlandt Village,Bronx
242,527,Van Nest/Morris Park,Bronx
243,426,Washington Heights North,Manhattan
244,2228,Washington Heights South,Manhattan
246,8,West Chelsea/Hudson Yards,Manhattan
247,449,West Concourse,Bronx
248,140,West Farms/Bronx River,Bronx
249,15,West Village,Manhattan
250,172,Westchester Village/Unionport,Bronx
252,28,Whitestone,Queens
253,15,Willets Point,Queens
254,344,Williamsbridge/Olinville,Bronx
255,248,Williamsburg (North Side),Brooklyn
256,167,Williamsburg (South Side),Brooklyn
257,53,Windsor Terrace,Brooklyn
258,86,Woodhaven,Queens
259,148,Woodlawn/Wakefield,Bronx
260,541,Woodside,Queens
261,13,World Trade Center,Manhattan
262,37,Yorkville East,Manhattan
263,149,Yorkville West,Manhattan
