DOLocationID,fare_per_mile,DOZone,DOBorough
141,5.823409090909092,Lenox Hill West,Manhattan
142,5.477795414462081,Lincoln Square East,Manhattan
143,5.646656050955414,Lincoln Square West,Manhattan
144,4.816326530612245,Little Italy/NoLiTa,Manhattan
145,6.084079601990049,Long Island City/Hunters Point,Queens
146,12.72731543624161,Long Island City/Queens Plaza,Queens
147,9.22124087591241,Longwood,Bronx
148,4.694999999999999,Lower East Side,Manhattan
149,15.496831683168317,Madison,Brooklyn
150,11.029425287356322,Manhattan Beach,Brooklyn
151,6.254028268551237,Manhattan Valley,Manhattan
152,16.547963525835865,Manhattanville,Manhattan
153,12.451481481481482,Marble Hill,Manhattan
154,4.8229999999999995,Marine Park/Floyd Bennett Field,Brooklyn
155,21.91412429378531,Marine Park/Mill Basin,Brooklyn
156,12.328,Mariners Harbor,Staten Island
157,6.9006134969325155,Maspeth,Queens
158,5.017790697674418,Meatpacking/West Village West,Manhattan
159,10.785368421052633,Melrose South,Bronx
160,18.039161676646707,Middle Village,Queens
161,5.074517045454545,Midtown Center,Manhattan
162,5.079504373177842,Midtown East,Manhattan
163,5.0053125,Midtown North,Manhattan
164,4.637,Midtown South,Manhattan
165,15.883194444444444,Midwood,Brooklyn
166,9.148789808917197,Morningside Heights,Manhattan
167,14.171644736842106,Morrisania/Melrose,Bronx
168,10.81710407239819,Mott Haven/Port Morris,Bronx
169,11.548413597733711,Mount Hope,Bronx
170,5.265026737967914,Murray Hill,Manhattan
171,4.966049382716049,Murray Hill-Queens,Queens
172,4.22,New Dorp/Midland Beach,Staten Island
173,6.574542124542124,North Corona,Queens
174,15.954915254237289,Norwood,Bronx
175,4.036976744186046,Oakland Gardens,Queens
176,3.95,Oakwood,Staten Island
177,18.62040293040293,Ocean Hill,Brooklyn
178,9.371320754716981,Ocean Parkway South,Brooklyn
179,19.144257425742573,Old Astoria,Queens
180,23.588846153846156,Ozone Park,Queens
181,15.046662484316187,Park Slope,Brooklyn
