PULocationID,fare_per_mile,PUZone,PUBorough
144,9.345333333333334,Little Italy/NoLiTa,Manhattan
145,6.921617647058824,Long Island City/Hunters Point,Queens
146,15.150645161290322,Long Island City/Queens Plaza,Queens
147,10.234396551724139,Longwood,Bronx
148,4.279473684210527,Lower East Side,Manhattan
149,15.849090909090911,Madison,Brooklyn
150,11.955714285714285,Manhattan Beach,Brooklyn
151,7.251630434782609,Manhattan Valley,Manhattan
152,16.149212730318258,Manhattanville,Manhattan
153,14.883513513513511,Marble Hill,Manhattan
154,3.319,Marine Park/Floyd Bennett Field,Brooklyn
155,45.97156462585034,Marine Park/Mill Basin,Brooklyn
156,6.067692307692308,Mariners Harbor,Staten Island
157,7.181846153846154,Maspeth,Queens
158,3.873333333333333,Meatpacking/West Village West,Manhattan
159,10.808333333333334,Melrose South,Bronx
160,37.618529411764705,Middle Village,Queens
161,4.241052631578947,Midtown Center,Manhattan
162,4.228400000000001,Midtown East,Manhattan
163,8.44357142857143,Midtown North,Manhattan
164,3.966,Midtown South,Manhattan
165,11.856969696969697,Midwood,Brooklyn
166,8.29475053304904,Morningside Heights,Manhattan
167,13.260664206642065,Morrisania/Melrose,Bronx
168,9.97060606060606,Mott Haven/Port Morris,Bronx
169,12.422020547945205,Mount Hope,Bronx
170,4.996769230769231,Murray Hill,Manhattan
171,6.685081967213115,Murray Hill-Queens,Queens
172,4.11,New Dorp/Midland Beach,Staten Island
173,6.244275362318841,North Corona,Queens
174,10.689777777777778,Norwood,Bronx
175,5.000526315789474,Oakland Gardens,Queens
177,24.833478260869565,Ocean Hill,Brooklyn
178,7.5,Ocean Parkway South,Brooklyn
179,18.48331210191083,Old Astoria,Queens
180,38.120384615384616,Ozone Park,Queens
181,11.214523121387282,Park Slope,Brooklyn
182,8.586653543307088,Parkchester,Bronx
183,5.631363636363637,Pelham Bay,Bronx
184,4.407500000000001,Pelham Bay Park,Bronx
185,9.02401913875598,Pelham Parkway,Bronx
186,4.812692307692307,Penn Station/Madison Sq West,Manhattan
187,3.325,Port Richmond,Staten Island
188,40.035889967637544,Prospect-Lefferts Gardens,Brooklyn
189,21.424477611940297,Prospect Heights,Brooklyn
190,32.84690476190476,Prospect Park,Brooklyn
191,63.773859649122805,Queens Village,Queens
192,9.606326530612245,Queensboro Hill,Queens
193,12.199521276595743,Queensbridge/Ravenswood,Queens
194,5.801428571428572,Randalls Island,Manhattan
