DOLocationID,Count,DOZone,DOBorough
183,67,Pelham Bay,Bronx
184,45,Pelham Bay Park,Bronx
185,242,Pelham Parkway,Bronx
186,281,Penn Station/Madison Sq West,Manhattan
187,4,Port Richmond,Staten Island
188,672,Prospect-Lefferts Gardens,Brooklyn
189,248,Prospect Heights,Brooklyn
190,65,Prospect Park,Brooklyn
191,196,Queens Village,Queens
192,91,Queensboro Hill,Queens
193,236,Queensbridge/Ravenswood,Queens
194,70,Randalls Island,Manhattan
195,224,Red Hook,Brooklyn
196,367,Rego Park,Queens
197,602,Richmond Hill,Queens
198,159,Ridgewood,Queens
200,114,Riverdale/North Riverdale/Fieldston,Bronx
201,74,Rockaway Park,Queens
202,54,Roosevelt Island,Manhattan
203,101,Rosedale,Queens
204,1,Rossville/Woodrow,Staten Island
205,358,Saint Albans,Queens
206,6,Saint George/New Brighton,Staten Island
207,31,Saint Michaels Cemetery/Woodside,Queens
208,178,Schuylerville/Edgewater Park,Bronx
209,72,Seaport,Manhattan
210,161,Sheepshead Bay,Brooklyn
211,55,SoHo,Manhattan
212,211,Soundview/Bruckner,Bronx
213,621,Soundview/Castle Hill,Bronx
214,2,South Beach/Dongan Hills,Staten Island
215,254,South Jamaica,Queens
216,328,South Ozone Park,Queens
217,99,South Williamsburg,Brooklyn
218,230,Springfield Gardens North,Queens
219,133,Springfield Gardens South,Queens
220,289,Spuyten Duyvil/Kingsbridge,Bronx
221,11,Stapleton,Staten Island
222,150,Starrett City,Brooklyn
223,448,Steinway,Queens
224,86,Stuy Town/Peter Cooper Village,Manhattan
225,573,Stuyvesant Heights,Brooklyn
226,563,Sunnyside,Queens
227,136,Sunset Park East,Brooklyn
228,337,Sunset Park West,Brooklyn
229,287,Sutton Place/Turtle Bay North,Manhattan
230,211,Times Sq/Theatre District,Manhattan
231,212,TriBeCa/Civic Center,Manhattan
232,167,Two Bridges/Seward Park,Manhattan
233,252,UN/Turtle Bay South,Manhattan
234,222,Union Sq,Manhattan
235,428,University Heights/Morris Heights,Bronx
236,1683,Upper East Side North,Manhattan
237,754,Upper East Side South,Manhattan
238,1539,Upper West Side North,Manhattan
239,942,Upper West Side South,Manhattan
240,66,Van Cortlandt Park,Bronx
241,205,Van Cortlandt Village,Bronx
242,641,Van Nest/Morris Park,Bronx
243,560,Washington Heights North,Manhattan
244,1229,Washington Heights South,Manhattan
245,2,West Brighton,Staten Island
246,187,West Chelsea/Hudson Yards,Manhattan
247,482,West Concourse,Bronx
248,161,West Farms/Bronx River,Bronx
249,97,West Village,Manhattan
250,189,Westchester Village/Unionport,Bronx
252,57,Whitestone,Queens
253,6,Willets Point,Queens
254,334,Williamsbridge/Olinville,Bronx
255,218,Williamsburg (North Side),Brooklyn
256,199,Williamsburg (South Side),Brooklyn
257,128,Windsor Terrace,Brooklyn
258,147,Woodhaven,Queens
259,156,Woodlawn/Wakefield,Bronx
260,411,Woodside,Queens
261,75,World Trade Center,Manhattan
262,667,Yorkville East,Manhattan
263,1215,Yorkville West,Manhattan
