,coef,std err,z,P>|z|,[0.025,0.975]
const,4.2744,0.087,49.347,0.0,4.105,4.444
fare_amount,0.0202,0.004,5.04,0.0,0.012,0.028
trip_duration,-3.603e-06,2.57e-06,-1.404,0.16,-8.64e-06,1.43e-06
hour_of_day,0.0064,0.002,3.002,0.003,0.002,0.011
payment_type,-2.2745,0.021,-108.377,0.0,-2.316,-2.233
